2021-01-12 18:35:32,378 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@580cfca3: startup date [Tue Jan 12 18:35:32 CET 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-01-12 18:35:33,201 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/home/hmoudden/MuleStudio/workspace/apache-activemq-5.14.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-01-12 18:35:33,551 | INFO  | PListStore:[/home/hmoudden/MuleStudio/workspace/apache-activemq-5.14.0/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-01-12 18:35:33,704 | INFO  | Apache ActiveMQ 5.14.0 (localhost, ID:ader.enseeiht.fr-43199-1610472933563-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-01-12 18:35:33,720 | INFO  | Listening for connections at: tcp://ader.enseeiht.fr:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-01-12 18:35:33,724 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-01-12 18:35:33,728 | INFO  | Listening for connections at: amqp://ader.enseeiht.fr:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-01-12 18:35:33,731 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-01-12 18:35:33,763 | INFO  | Listening for connections at: stomp://ader.enseeiht.fr:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-01-12 18:35:33,766 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-01-12 18:35:33,772 | INFO  | Listening for connections at: mqtt://ader.enseeiht.fr:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-01-12 18:35:33,775 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-01-12 18:35:33,861 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@77372706{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-01-12 18:35:33,890 | INFO  | Listening for connections at ws://ader.enseeiht.fr:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-01-12 18:35:33,890 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-01-12 18:35:33,891 | INFO  | Apache ActiveMQ 5.14.0 (localhost, ID:ader.enseeiht.fr-43199-1610472933563-0:1) started | org.apache.activemq.broker.BrokerService | main
2021-01-12 18:35:33,892 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-01-12 18:35:34,202 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-01-12 18:35:34,403 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-01-12 18:35:34,403 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-01-12 18:35:34,447 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-01-12 18:35:34,636 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-01-12 18:35:34,712 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-01-12 18:37:11,688 | INFO  | Apache ActiveMQ 5.14.0 (localhost, ID:ader.enseeiht.fr-43199-1610472933563-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-23
2021-01-12 18:37:11,716 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2021-01-12 18:37:11,718 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2021-01-12 18:37:11,719 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2021-01-12 18:37:11,721 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2021-01-12 18:37:11,721 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: mqtt://0.0.0.0:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
