341 616
311 608
303 603
304 569
308 563
303 564
302 558
311 549
302 556
299 548
288 537
263 530
240 517
236 505
237 500
252 502
223 488
215 492
191 498
182 496
181 490
178 501
174 507
176 514
175 516
167 516
165 513
159 514
156 517
144 519
146 513
147 512
147 504
149 497
158 485
160 472
160 458
163 447
170 445
171 441
166 441
149 440
147 448
142 436
137 442
133 435
129 445
110 442
110 436
106 438
91 464
72 463
67 452
56 455
55 448
49 450
49 454
21 450
19 441
12 429
19 430
31 434
27 430
34 430
37 422
32 424
25 426
21 428
20 426
18 425
21 423
22 419
25 422
38 413
33 411
28 413
10 409
10 408
18 405
27 399
27 393
28 389
37 389
40 398
43 393
45 394
45 399
51 389
60 389
67 385
69 381
82 376
85 367
87 367
85 374
90 372
90 376
93 376
94 374
103 377
103 372
95 371
99 365
107 366
107 368
118 364
112 365
114 360
111 358
113 352
123 348
128 351
140 352
153 344
143 345
139 350
128 349
126 341
137 334
128 322
144 303
146 295
162 284
177 283
177 279
172 273
182 263
179 259
177 250
177 244
172 244
171 237
189 228
198 215
202 194
207 192
210 184
206 189
206 171
203 190
201 191
192 214
180 229
176 225
170 165
175 172
182 167
180 163
173 166
170 158
158 99
148 84
139 76
139 73
160 64
155 53
159 50
165 56
176 49
192 46
207 33
217 39
234 28
264 25
264 25
316 21
337 5
347 11
367 6
387 14
400 12
391 22
390 52
400 75
412 73
440 92
444 86
466 85
466 79
495 80
505 81
506 71
534 62
571 71
573 88
582 88
602 114
614 121
616 147
605 144
582 153
578 173
588 181
584 190
568 193
573 208
584 218
585 235
567 257
576 266
565 284
567 294
556 304
542 302
536 296
537 287
528 277
524 280
524 287
528 288
531 296
528 298
528 312
544 336
567 366
560 369
568 378
576 370
594 386
591 417
596 455
614 485
574 496
542 493
535 513
502 512
481 513
455 529
450 554
443 554
438 542
421 543
420 562
412 565
398 564
393 574
379 577
371 596
359 592
348 600
348 611
341 616
